localid,Language,collection,label,description ,definition,status
EASa,it,fisiogr_forma,EASa,falda di detrito da crollo (talus) attiva,falda di detrito da crollo (talus) attiva,https://inspire.ec.europa.eu/registry/status/valid
EASs,it,fisiogr_forma,EASs,falda di detrito da crollo (talus) stabilizzata,falda di detrito da crollo (talus) stabilizzata,https://inspire.ec.europa.eu/registry/status/valid
EAT,it,fisiogr_forma,EAT,torbiera di versante,torbiera di versante,https://inspire.ec.europa.eu/registry/status/valid
EAV,it,fisiogr_forma,EAV,cono di valanga,cono di valanga,https://inspire.ec.europa.eu/registry/status/valid
EC,it,fisiogr_forma,EC,canale di valanga,canale di valanga,https://inspire.ec.europa.eu/registry/status/valid
ED,it,fisiogr_forma,ED,versante dissestato,versante dissestato,https://inspire.ec.europa.eu/registry/status/valid
EDB,it,fisiogr_forma,EDB,versante con biancane,versante con biancane,https://inspire.ec.europa.eu/registry/status/valid
EDC,it,fisiogr_forma,EDC,versante con calanchi,versante con calanchi,https://inspire.ec.europa.eu/registry/status/valid
EDF,it,fisiogr_forma,EDF,versante con frane di suolo (soil slips),versante con frane di suolo (soil slips),https://inspire.ec.europa.eu/registry/status/valid
EDI,it,fisiogr_forma,EDI,incisione catastrofica cartografabile,incisione catastrofica cartografabile,https://inspire.ec.europa.eu/registry/status/valid
EDL,it,fisiogr_forma,EDL,colata da trasporto in massa,colata da trasporto in massa,https://inspire.ec.europa.eu/registry/status/valid
EDR,it,fisiogr_forma,EDR,versante con creep (reptazione),versante con creep (reptazione),https://inspire.ec.europa.eu/registry/status/valid
EDS,it,fisiogr_forma,EDS,versante con soliflusso,versante con soliflusso,https://inspire.ec.europa.eu/registry/status/valid
EE,it,fisiogr_forma,EE,versante eroso,versante eroso,https://inspire.ec.europa.eu/registry/status/valid
EER,it,fisiogr_forma,EER,versante con incisioni e solchi permanenti (rill e gully erosion),versante con incisioni e solchi permanenti (rill e gully erosion),https://inspire.ec.europa.eu/registry/status/valid
EES,it,fisiogr_forma,EES,versante con erosione diffusa (sheet erosion),versante con erosione diffusa (sheet erosion),https://inspire.ec.europa.eu/registry/status/valid
EF,it,fisiogr_forma,EF,versante in frana,versante in frana,https://inspire.ec.europa.eu/registry/status/valid
EFC,it,fisiogr_forma,EFC,corpo di frana,corpo di frana,https://inspire.ec.europa.eu/registry/status/valid
EFN,it,fisiogr_forma,EFN,nicchia di frana,nicchia di frana,https://inspire.ec.europa.eu/registry/status/valid
EG,it,fisiogr_forma,EG,pediment o glacis d’erosione,pediment o glacis d’erosione,https://inspire.ec.europa.eu/registry/status/valid
EL,it,fisiogr_forma,EL,versante lineare,versante lineare,https://inspire.ec.europa.eu/registry/status/valid
ELA,it,fisiogr_forma,ELA,versante lineare aggradato,versante lineare aggradato,https://inspire.ec.europa.eu/registry/status/valid
ELN,it,fisiogr_forma,ELN,versante lineare non aggradato,versante lineare non aggradato,https://inspire.ec.europa.eu/registry/status/valid
ELR,it,fisiogr_forma,ELR,versante lineare regolare,versante lineare regolare,https://inspire.ec.europa.eu/registry/status/valid
EP,it,fisiogr_forma,EP,scarpata,scarpata,https://inspire.ec.europa.eu/registry/status/valid
EPS,it,fisiogr_forma,EPS,piede di scarpata,piede di scarpata,https://inspire.ec.europa.eu/registry/status/valid
ER,it,fisiogr_forma,ER,resto di terrazzo,resto di terrazzo,https://inspire.ec.europa.eu/registry/status/valid
ES,it,fisiogr_forma,ES,superficie di spianamento,superficie di spianamento,https://inspire.ec.europa.eu/registry/status/valid
ESD,it,fisiogr_forma,ESD,forma dissecata,forma dissecata,https://inspire.ec.europa.eu/registry/status/valid
