id;uom;code;qudt_unit;label;procedure;glosis;definition;;;;;;;;;;122
248;codelist;;;"""usda_sottogruppo - Sottogruppo (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_sottogruppo;;;;;;;;;;
249;codelist;;;"""usda_temp - Classe di temperatura (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_temp;;;;;;;;;;
250;codelist;;;"""uso_del_suolo - Uso del suolo""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#uso_del_suolo;;;;;;;;;;
251;codelist;;;"""Usosuolo_sst - uso del suolo legenda sottosistemi di terre""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Usosuolo_sst;;;;;;;;;;
252;codelist;;;"""Usosuolo_st - uso legenda sistemi terre""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Usosuolo_st;;;;;;;;;;
253;codelist;;;"""vegetazione - Tipo di vegetazione della stazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#vegetazione;;;;;;;;;;
254;codelist;;;"""wkby_prs - Lavorabilità secondo PRS (Servadio 2004)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#wkby_prs;;;;;;;;;;
255;codelist;;;"""wrb_II_livello - Classificazione WRB Unità di livello inferiore (primo qualificatore 2° livello)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#wrb_II_livello;;;;;;;;;;
256;codelist;;;"""wrb_III_livello - Classificazione WRB secondo qualificatore""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#wrb_III_livello;;;;;;;;;;
257;codelist;;;"""wrb_IV_livello - Classificazione WRB terzo qualificatore""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#wrb_IV_livello;;;;;;;;;;
258;codelist;;;"""wrb_prefix - Classificazione WRB Prefisso""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#wrb_prefix;;;;;;;;;;
259;codelist;;;"""wrb_unità - Classificazione WRB gruppo pedologico""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#wrb_unita;;;;;;;;;;
